1,地球,-,月球,earth
2,焦糖蘋果,美食星球,棒棒糖,caramel
3,甜心蜂巢,動物星球,蜂蜜棒,beehive
4,乳牛王,動物星球,乳酪,cow
5,水世界,元素星球,瓶中信,water
6,遠古鳳尾蕨,植物星球,太空垃圾,fern
7,漂浮原石,元素星球,人造衛星,stone
8,機械之心,特殊星球,齒輪,gear
9,冰天雪地,元素星球,雪球,snow
10,黃金油礦,植物星球,橄欖樹,olive
11,雅典娜之月,特殊星球,聖誕星星,star
12,冰河時期,元素星球,雪花,iceberg
13,鷹巢,動物星球,羽毛球,nest
14,柳橙果凍,美食星球,冰棒,jelly
15,泡泡糖,元素星球,彩虹球,bubble
16,鳳梨丘陵,美食星球,黃色果汁機,pineapple
17,草莓餅乾,美食星球,牛奶罐,strawberry
18,工業時代,特殊星球,探測機,iron
19,雪瓜之星,美食星球,綠色果汁機,hami
20,紅色珊瑚,動物星球,珍珠,coral
21,荒漠沙原,元素星球,魔法石,sand
22,章魚洞穴,動物星球,沉船,octopus
23,鱷魚沼澤,植物星球,魚眼斑點,swamp
24,迷霧基地,特殊星球,太空海盜戰艦,smoky
25,火山熔岩,元素星球,鑽探機,lava
26,夜光蘑菇,植物星球,藍寶石,mushroom
27,香蕉船,美食星球,小雨傘,banana
28,褐角山谷,動物星球,草球,deer
29,糖果甜心,美食星球,拐杖糖,candy
30,洋芋巨塔,植物星球,零食,potato
31,喵喵毛球,動物星球,老鼠,cat
32,七彩水晶,特殊星球,琥珀,crystal
33,微風沙漠,植物星球,黃光球,cactus
34,甜甜圈,美食星球,馬卡龍,donut
35,花朵莊園,植物星球,藍光球,flower
36,HA42N55,特殊星球,邪惡博士的太空船,virus
37,巨人甜椒,植物星球,紅寶石,pepper
38,僵屍腦袋,特殊星球,點滴,brain
39,紅色深坑,動物星球,小熊軟糖,beetle
40,提琴山谷,特殊星球,鈴鐺,music
41,日落草原,植物星球,稻草人,wheat
42,平靜草原,植物星球,綠寶石,grass
43,巫婆巢穴,特殊星球,蝙蝠,witch
44,電路之城,特殊星球,電池,circuit
45,寶藏礦坑,元素星球,鑽石,mine
46,燃燒之心,元素星球,火球,flame
47,野豬部落,動物星球,火腿,pig
48,軟綿綿山丘,動物星球,毛線球,sheep
49,西瓜峽谷,美食星球,紅色果汁機,watermelon
50,亞馬遜森林,元素星球,花球,forest
51,巧克力流域,美食星球,棉花糖,chocolate
52,中國城,節慶星球,中國龍,newyear
53,對望之山,節慶星球,情書,valentine
54,童年之城,節慶星球,積木,childfes
55,彩虹之石,節慶星球,彩蛋,easter
56,家事工廠,節慶星球,愛心,mother
57,龍舟湍流,節慶星球,香包,dragonboat
58,寧靜之河,節慶星球,符咒,ghostfes
59,忙碌城市,節慶星球,煙斗,father
60,月影湖泊,節慶星球,月餅,moonfes
61,驚奇南瓜,節慶星球,魔法陣,halloween
62,眾賜之地,節慶星球,火雞羽毛,thanksgiving
63,環狀森林,節慶星球,聖誕禮物,christmas
64,深海魚缸,動物星球,鳳螺,fishpot
65,遺落之門,特殊星球,偵察艦,artifact
66,靈感之源,元素星球,插頭,bulb
67,球狀比賽,特殊星球,足球,soccer
68,隱形基地,元素星球,隱形walkr,invisible
69,漢堡山脈,美食星球,可樂罐,burger
70,爆米花監獄,美食星球,DVD,popcorn
71,豆子的家,元素星球,狗碗,bone
72,淚水雲,元素星球,烏鴉,cloud
73,無盡賽道,特殊星球,輪胎,racing
74,羅馬競技場,特殊星球,羅馬頭盔,roman
75,遠古世界樹,植物星球,符文石,ruins
76,維京空飛船,植物星球,號角,viking
77,石器時代,動物星球,石碑,stoneage
78,憤怒巨龍,動物星球,騎士盾牌,dragon
79,黑白竹園,動物星球,竹筒,panda
80,漂浮圖書館,特殊星球,字典,library
81,平靜墓園,植物星球,墓碑,tomb
82,星際傳送門,特殊星球,能量石,portal
83,巨浪之海,元素星球,水塞,ocean
84,夢田,特殊星球,馬來貘,fluffy
